اَنوشا 	جاویدانبرگشت به لیست
صوفیا 	منسوب به صوفی نوایی در موسیقی
صونا 	دوری از گناه ، خویشتنداری از گناه
صهبا	شراب انگوری . شرابی که مایل به سرخی باشد
ضحی 	سپیده صبح،در قرآن بهش قسم خورده شده
طَراوت 	تر و تازگی؛ (به مجاز) سامان و رونقبرگشت به لیست
طُلوع 	دمیدن و برآمدنِ خورشید و مانند آن؛ ابتدای روز
طاهره 	طاهر، زن پاک و مبرا از عیب، لقب فاطمه زهرا (ع) و لقب خدیجه همسر پیامبر (ص)
طرفه 	شگفت آور، جالب، عجیب
طناز	از اسامی دخترانه بسیار زیبا، دلنشین و فریبنده
طنان 	پرطنین، بلندآوازه، مشهور
طنین 	انعکاس صوت، پژواک؛ حالتی از صدا که دارای تأثیر و نفوذ باشد؛ خوش آهنگی
طهورا 	پاکیزه، پاک کننده ، از اسامی قرآنی (شرابا طهورا)
طیلا 	شرابی که از جوشاندن فشرده انگور، مویز، یا خرما به دست می‌آید.
عادله 	مؤنث عادل، بانوی با انصاف
عارفه 	زن عالم و عارف
عرفانه 	عرفان (عربی) + ه (فارسی) مرکب از عرفان (معرفت) + ه (پسوند نسبت)
عسل 	مایعی خوراکی که زنبور عسل می سازد، بسیار شیرین و دوست داشتنی
عطرین 	منسوب به عطر، دل انگیز، معطر، خوشبو
عطیه 	انعام، بخشش
غَزل 	نوعی شعر، شعر عاشقانه
غدیره 	گیسوی بافته شده، مونث شده کلمه (غدیر)
غزال 	نوعی آهوی ظریف اندام و بسیار تندرو با چشمان درشت سیاه
غزاله 	نوعی آهو
غزل ناز 	غزل (عربی) + ناز (فارسی) مرکب از غزل (شعرعاشقانه) + ناز (زیبا)
غنچه	گلی که شکفته نشده
غنچه 	گل نیمه باز
غوغا 	صدای بلند، بانگ و فریاد

فاتن 	فتنه انگیز، آنکه آشوب بپا می‌کندبرگشت به لیست
فاتیما 	فاطیما، نام شهری است در اروپا که حضرت فاطمه در آنجا ظهور کرده است
فارا 	 نام کوهی است که در غرب فلات ایران واقع شده است.
فارهه 	دختر زیبا و با نمک
فاسیروس 	 نام دختر اردشیر دراز دست پادشاه هخامنشی
فاطمه 	نام دختر پیامبر(ص) ، زنی که بچه خود را از شیر گرفته باشد
فام گل 	 به رنگ گل
فانیذ	قند وشکر
فانیذ 	 پانیذ، قند، شکر
فایدیم 	 به معنای گل نیلوفر است، نام همسر کبوجیه پادشاه هخامنشی
فائزه 	نائل ، رستگار، از اسامی قرآنی
فائقه 	پیروز شده
فراتاگون 	نام دختر آرتان، برادر داریوش بزرگ
فراچهر 	 مرکب از فرا (بالاتر) + چهر (صورت) = آنکه صورتی زیباتر از دیگران دارد.
فرارنگ 	 فرانک، پروانه، از شخصیتهای شاهنامه، نام مادر فریدون پادشاه پیشدادی و همسر آبتین
فرازنده 	 بالابرنده و افرازنده
فرانک 	پروانه، از شخصیت های شاهنامه، نام دختر برزین و زن بهرام گور،
فرانه 	 فرانک
فرآذر 	 شکوه آتش
فربو 	 مرکب از فر (شکوه) + بو = بو و عطر شکوه و منزلت
فرپرک 	 شب پره که آن را مرغ عیسی نیز می نامند.
فرتوک 	 پرستو
فرجهان 	 شکوه دنیا
فرخ 	 اسم دخترانه و پسرانه به معنی خجسته، مبارک، فرخنده، نام یکی از مرزبانان خسروپرویز پادشاه ساسانی
فرخ بانو 	 بانوی بزرگوار و فرخنده
فرخ بخش 	 بخشنده بزرگوار، نام یکی از بهدینان یزد که در سال هشتاد و هشت یزگردی می زیسته است.
فرخ تاج 	 فرخ (فارسی) + تاج (فارسی) مرکب از فرخ (مبارک) + تاج
فرخ چهر 	 دارای چهره فرخنده و مبارک
فرخ ماه 	 ماه خجسته و مبارک
فرخ ناز 	از نام های برگزیده
فرخنده 	مبارک، پرارج
فرخنده چهر 	 دارای چهره مبارک و خجسته
فردخت 	 مرکب از فر (شکوه) + دخت (دختر)
فردوس 	از اسامی دخترانه به معنی پردیس ، یهشت
فردیس	پردیس، بهشت
فرزان 	از نام های برگزیده
فرزان دخت 	 دختر فرزانه و دانا
فرزانه 	گرامی، ارجمند
فرسیما 	فر (فارسی) به معنای شکوه + سیما (عربی)، آنکه صورتی باشکوه دارد.
فرشته	موجودی آسمانی
فرشته 	از نام های برگزیده
فرگون 	مانند روشنایی
فرمهر 	کسی که شکوه و عظمتی چون خورشید دارد.
فرناز 	از نام های برگزیده
فرنگیس 	نام دختر افراسیاب، زن سیاوش، مادر شاه کیخسرو کیانی
فرنوش 	از نام های برگزیده
فرنوشا 	شکوه و عظمت ابدی ریشه
فرنی 	 بسیار، افزون و فروزان
فرنیا	دارنده اصل و نسب
فرنیار 	 اصیل، دارنده اصل و نسب
فرنیان 	 پرنیان، ابریشم و حریر، دختری که دارای جسمی بسیار لطیف و زیباست.
فروردین 	نخستین ماه هر سال
فروزان 	نورانی، شعله ور
فروزش 	روشن
فروزنده 	از نام های برگزیده
فروغ 	روشنایی، تابش
فروغبانو 	از نام های برگزیده
فریال 	دارای اندام و هیکل باشکوه، قوی و باشکوه، مرکب از فر (شکوه) + یال (گردن، بالای بازو)
فریبا 	فریبنده
فریسا	پریسا ، زیبا چون پری
فریماه 	از نام های برگزیده
فرین 	نام یکی از دختران اشوزرتشت
فریناز 	از نام‌های برگزیده
فصیحه 	فصیح و گویا،بانوی فهمیده
فلامک 	الماس گلی رنگ
فلورا 	فلوریا، در رم باستان، الهه گل ها و بارآوری
فهیمه 	فهیم
فیروزه	نام سنگی قیمتی به رنگ آبی یا سبز
فیروزه 	نگین انگشتر
قُدسی 	 مربوط به عالم بالا، مربوط به عالم مجردات، ملکوتی؛ (به مجاز) فرشته
قُدسیه 	 مؤنث قدسی
قاصدک	گل پیام رسان
قاصدک 	گل قاصدک
قاهره 	 مؤنث قاهر، نام پایتخت مصر
قدسی 	مقدس، فرشته
قدیره 	 مؤنث قدیر، توانا
قشنگ 	 زیبا، خوشگل
قشنگ گل 	 گل زیبا، دختری که چهره اش مثل گل زیبا و لطیف است.
قصیده	نام یکی از قالب های شعر فارسی وعربی
قصیده 	 نام یکی از قالب‌های شعر فارسی وعربی
قطره 	 مقدار کمی از مایع که از جایی بچکد، چکه
قمر 	 ماه؛ جِرم آسمانی که دور سیاره‌ای بچرخد؛ (به مجاز) زن زیباروی
قمرالزمان 	 ماه دوران؛ نام یکی از شخصیت‌های هزار و یک شب
قمرالملوک 	 آن که میان پادشاهان چون ماه می‌درخشد.
قمرتاج 	 تاج ماه
قمرسیما 	 ویژگی آن که چهره‌اش مثل ماه میباشد؛ (به مجاز) زیبارو
قمرناز 	 ماه ناز ، آن که چون ماه زیباست.

کُنیا 	دختری که ازدواج نکرده استبرگشت به لیست
کاترینا 	کاترین ، به معنی پاک و بی آلایش
کارولین 	نام ناحیه ای در آمریکای شمالی
کاس 	 اسم زیبای شمالی به معنی دختر چشم آبی
کاساندان	همسر کورش بزرگ
کاساندان 	نام زن کوروش بزرگ و مادر کمبوجیه
کاشین 	 نام محله در شمال ایلام
کامدل 	از نام های برگزیده
کامروا 	خوشبخت، خرسند
کامله 	 مؤنث کامل، بی نقص، بی عیب
کاملیا 	گلی درشت و زیبا سفید و صورتی رنگ که در بهار ظاهر می شود.
کامه 	 خواسته، آرزو، مراد، هدف، خواهش
کامیشا 	 خوشحال، سرزنده، خوش بیان، ترکیب مغلوب و تغییر یافته “شادکام”
کامیلا 	محافظ معبد، نام دختری جنگجو در افسانه تروا اسم دختر
کاناز 	 چوب ریشه خوشه خرما، اسم اصیل ایرانی
کانی 	 چشمه آب، کنایه از تازگی و نشاط و طراوت است.
کاویش 	پیمانه شیر
کبرا 	 کبری، بزرگ، کبیر
کبریا	بزرگی وعظمت
کبریا 	 بزرگی، عظمت
کبیتا 	نوعی شیرینی
کتایون	دختر قیصر روم و زن گشتاسب و مادر اسفندیار
کتایون 	 کسایون، اسم یکی از دختران قیصر روم و نیز همسر گشتاسپ پادشاه کیانی.
کرا 	 اسم همسر مولاناجلال الدین بلخی
کرامت 	 بزرگواری، شرافت، سخاوت، بخشندگی
کرانه 	 ساحل، گوشه، کنار، سو، جهت
کردیا	دختر کرد
کرشمه	ناز و غمزه، نام نوایی در موسیقی
کریمه 	 مؤنث کریم، بخشنده، سخاوتمند
کژال 	 غزال، دختری با چشمان زیبا
کشور 	 سرزمینی دارای مرزهای مشخص که از سایر سرزمین ها جدا شده است.
کشوربانو 	از نام های برگزیده
کلارا	چشم مردمک چشم
کلاله 	 بخشی از گل که برایجذبدانه های گرده، نگه داشتن و رویاندن آنها و تولید میوه است، زلف، کاکل
کلثوم 	 اسم یکی از دختران حضرت علی (ع)
کمانه 	 منسوب به کمان
کمند	آنچه به وسیله آن کسی را گرفتار می کنند
کمند 	 دام، کنایه از گیسو
کوثر 	 نام چشمه‌ای در بهشت، نام سوره ای در قرآن کریم
کوچیار 	 یار کوتاه قد (نگارش کردی
کوشانه 	 دختر ساعی، بانوی تلاشکر
کوشک 	 کاخ، قصر، اسم دخترایرج (پسر فریدون پادشاه پیشدادی)
کوکب 	 ستاره، گلی زینتی و درشت و پُرپَر به رنگهای ارغوانی، سفید، قرمز، زرد یا بنفش
کوکبه 	 شکوه، جلال
کوهینه 	 پونه
کهربا 	 نام صمغی سخت شده و زرد رنگ که خاصیت جاذبه دارد.
کهسار 	 کوهسار، جایی که دارای کوههای متعدد است.
کی آفرید 	 مرکب از کی (پادشاه) + آفرید (آفریده) = کسی که شاه آفریده شده.
کی آفرین 	 آفریننده پادشاه
کی بانو 	از نام های برگزیده
کی دخت 	 دختر پادشاه
کیادخت 	 دختر پادشاه
کیارا 	اندوه و ملالت، میل شدید به خوردن انواع خوردنی جات
کیارنگ 	از نام های برگزیده
کیان بانو 	 ملکه
کیان دخت 	 دختری از نسل شاهان، شاهزاده
کیانا	برخواسته از نسل کیانیان
کیانا 	طبیعت، اهل هرچیز
کیانبانو 	از نام های برگزیده
کیاندخت 	از نام های برگزیده
کیانه 	 منسوب به کیان، پادشاهی
کیجا 	 دختر
کیجانا 	 دختر مازندرانی که عزیز و دوست داشتنی است.
کیسر 	از نام های برگزیده
کیمیا 	از اسامی دخترانه به معنی اکسیر، هر چیز نایاب و دست نیافتنی، افسون
کیناز 	 به کسر کاف، موجب افتخار پادشاه، دختری که پادشاه نازکش اوست
کیوان بانو 	از نام های برگزیده
کیوان دخت 	 مرکب از کیوان (نام ستاره‌ای) + دخت (دختر)
کیوانچهر 	از نام های برگزیده
کیواندخت 	از نام های برگزیده
کیوانرخ 	از نام های برگزیده
کیوانزاد 	از نام های برگزیده
کیهان دخت 	 مرکب از کیهان (دنیا) + دخت (دختر)
کیهانه 	 کیهان، جهان هستی، دنیا، گیتی
گُلان 	 منسوب به گل؛ گلها؛ (به مجاز) زیبارو و لطیف
گرامیدخت 	 گرامی + دختر = دختر عزیز و محترم
گراناز 	گران ناز
گرانمهر 	 آن که مهر و محبت بسیار دارد، بسیار مهربان.
گرانناز 	 دارای ناز، کرشمه و غمزه‌ی فراوان؛ دارنده‌ی قشنگی و زیبایی زیاد؛ جذاب و خوشایند
گردآفرید 	 دختر جنگاور ایرانی که در دژ سپید در مرز ایران و توران با سهراب جنگید، فرزند گژدهم
گردآفرین 	 گُرد آفرید
گردیا 	 بکی از شخصیت های شاهنامه
گردیه 	 از شخصیت های شاهنامه فردوسی، نام خواهر بهرام چوبین (سردار ساسانی)
گشتا 	 بهشت، پردیس
گشین 	 (گش = خوب، خوش، با ناز راه رفتن + ین (پسوند نسبت))، (به مجاز) زیبا و دوست داشتنی.
گل افروز 	 مرکب از گل + افروز (افروزنده)
گل افشان 	 افشاننده‌ی گل یا ریزنده‌ی گل، گل فشان
گل اندام 	 دارای پیکر ظریف و زیبا همانند گل
گل آذین 	 زینت گل، آرایش گل، چگونگی قرار گرفتن گل‌ها بر روی ساقه
گل آرا 	زینت دهنده گل، از شخصیت های شاهنامه، نام مادر روشنک بنا به بعضی نسخه های شاهنامه
گل آسا 	مانند گل
گل آور 	 (گل + آور (جزء پسین) = آورنده، دارنده)، گل آورنده، گلدارنده؛ (به مجاز) زیبا و با طراوت
گل آویز 	 مرکب از گل + آویز (آویخته شده)
گل بهار 	 گلی که در بهار شکفته می‌شود، شکوفه گل
گل پر 	 دانه معطری به شکل پولکهای زرد کوچک که دارویی است.
گل پرست 	 دوستدار گل
گل پری 	 زیبا چون گل و پری
گل پناه 	 پناه گل
گل تاج 	 تاجی پر از گل
گل جهان 	 گل جهان، بهترین و زیباترین گل در جهان
گل دانه 	 دانه گل
گل شید 	گلی که چون خورشید می درخشد
گلاب 	 مایع خوشبویی که از تقطیر گل سرخ و آب به دست می‌آید.
گلابتون 	 رشته‌های نازک طلا و نقره که همره تارهای ابریشم در زری بافی به کار می‌رود.
گلاره	مردمک چشم، حبه انگور
گلاره 	چشمان
گلاسا 	 مانند گل، مرکب از گل و پسوند مشابهت
گلاله 	 کاکل مجعد، موی پیچیده
گلبَر 	 آن که آغوشش چون گل لطیف و نازک است؛ گونه‌ای از گلها
گلباران 	 برای تمجید و احترام زیاد استفاده می‌شود.
گلبان 	 نگهدارنده و محافظ، نام مادر ابرانواس شاعر ایرانی قرن دوم
گلبانو 	بانویی زیبا چون گل
گلبخت 	 (گل + بخت = سرنوشت، طالع)، (به مجاز) زیبا و لطیف و دوست داشتنی.
گلبر 	 آن که سینه و آغوشش چون گل لطیف و نازک است.
گلبرگ 	هر یک از اجزای پوششی گل، چهره و رخسار
گلبن 	 بوته یا درخت گل
گلبو 	از شخصیت های شاهنامه، نام دلاوری ایرانی از همراهان رستم هرمزان پادشاه ساسانی
گلبوته 	 بوته گل
گلبهار 	گل فصل بهار
گلبیز 	 گل افشان، گلریز، معطر، خوشبو
گلپاد 	 نگهبان گل
گلپاره 	 قطعه‌ی گل، تکه ی گل؛ (به مجاز) زیبا و با طراوت
گلپر 	 دانه‌ی معطری به شکل پولک‌های زرد کوچک
گلپری 	 گل+ پری = (به مجاز) زیباروی و دارای اندام ظریف،
گلپسند 	 زیباروی مورد پسند
گلپونه 	گلهای کوچک معطر به رنگ صورتی یا بنفش، پونه جوان و تازه
گل‌پیکر 	 ویژگی آن که پیکرش مثل گل زیبا و لطیف است، گل اندام
گلدانه 	دانه ی که باعث طراوت  گل میشود
گلدخت 	دخترِ گل، دخترِ دارای صفات گل
گلدیس 	چون گل، مانند گُل؛ (به مجاز) زیبارو و لطیف
گلرخ	زیبا رو ، دختری که چهره ای زیبا چون گل دارد
گلرخ 	زیبا رو دختری که چهره‌ای زیبا چون گل دارد.
گلرنگ 	 به رنگ گل
گلسا	گلسان، مانند گل
گلسان 	 گلسا، مانند گل
گلشن 	باغ گل
گلمهر 	(گل + مهر = خورشید)، (به مجاز) آفتاب، گل خورشید، گل آفتاب، گل آفتابگردان
گلنار 	گل انار، به زیبایی گل
گلناز 	دارای ناز و عشوه ای چون گل
گلنوش 	مرکب از گل + نوش (عسل)، نام یکی از لحن های قدیم موسیقی ایرانی
گلوریا	با شکوه ، سرفراز
گلی 	رنگ قرمز گل رز
گندم 	دانه خوراکی غنی از نشاسته
گهرناز 	 گوهرناز
گیتا	گیتی
گیتا 	  نوعی آهنگ
گیتی 	 جهان، عالم
گیتی ناز 	 آن که موجب فخر و مباهات جهان است.
گیسو 	موی بلندسر
گیلدا 	طلا
گیلنار 	ترکیب از گیل (گیلک) + نار (انار)
گیهان 	 کیهان، جهان، دنیا، گیتی
دختر بچه زیبا

لَچَک 	دستمال سه گوشبرگشت به لیست
لادن 	 معرب از یونانی، گل زینتی به رنگ زرد، قرمز، یا نارنجی
لاریسا	نوعی سکه زینتی که در فارس ضری می شد
لاله	گلی به شکل جام و سرخ رنگ، گونه سرخ و گلگون
لاله 	 گلی به شکل جام و سرخ رنگ، گونه سرخ و گلگون
لاله چهر 	 آن که چهره و صورتی سر و زیبا چون گل لاله دارد.
لاله دخت 	 مرکب از لاله (گلی) + دخت (دختر)
لاله رخ 	 لاله چهر، آن که چهره و صورتی سرخ و زیبا چون گل لاله دارد.
لاله رخسار 	 لاله چهر، کسی که صورتش زیبا چون گل لاله است.
لاله رو 	 لاله چهر، آن که صورتی زیبا به مثال گل لاله دارد.
لاله زار 	 زمینی که در آن لاله فراوان روییده است.ناماصیلفارسی
لاله گون 	همچون لاله
لاله وش 	مانند لاله
لامیا 	 شهری نزدیک خلیج لامیا
لاون 	 نام جایی در شاهنامه
لاوین	نوازشگر ، آواز خواندن همراه با نوازش
لایه 	 پوشش، نام زنی در رمان باغ بلور
لبخند 	احساس شادی بر لبان
لبخنده 	 لبخند
لبینا	نام یکی از لحنهای قدیم موسیقی ایرانی
لتکا 	 باغ، باغچه
لطیفه 	 مؤنث لطیف
لعبت 	 زن زیبا روی و خوش اندام، عروسک، بازیچه
لعل 	 معرب از فارسی، لال، نام سنگی قیمتی به رنگ قرمز، گاهی سبز و زرد تا سیاه
لعیا	نام زن حضرت یعقوب
لمیا 	 زن سیاه و گندمگون
لمیس 	 زنی با پوست نازک و لطیف
لنا 	 نصیب و بهره
لنیا 	(فارسی- سنسکریت) دختر ملیح، نمکین، مرکب از لن (سنسکریت) + ی نسبت (فارسی) + الف
لوتوس 	 گل نیلوفر آبی یا سوسن شرقی،
لورا 	 نام سازی است، چنگ. نام یکی از صورتهای فلکی شمالی
لؤلؤ 	 مروارید
لیا	دختر بزرگ ‘لابان’ که یعقوبِ پیامبر وی را به همسری قبول کرد – خجسته، نام همسر یعقوب (ع)
لیا 	 خجسته، نام همسر یعقوب (ع)
لیالی 	 شب‌ها
لیان 	 درخشنده ، نام روستایی در نزدیکی بوشهر
لیانا 	بانوی درخشان و زیباروی، مرکب از لیان به معنای درخشان و الف تأنیث
لیدا	مهسان – مهسیما – مهسو- مهرشید
لیزا 	 بنده خالص خداوند
لیسا 	 نام روستایی در نزدیکی قزوین
لیلا	شب طولانی و بسیار تاریک
لیلا 	 لیلی
لیلی 	 شب دراز، نام یکی از لحنهای قدیم موسیقی ایرانی
لیلیا 	 شب، هم ریشه با”لیل” عربی است.
لیمو 	 میوه خوردنی، ترش یا شیرین، معطر و زردرنگ
لینا 	آبشار کوچک
لیندا 	قشنگ، زیبا
لیو 	خورشید، آفتاب
لئا 	 به سوی خدا، دختری که رو به سوی خدا دارد.
مَهدیس	مانند ماه؛ (به مجاز) زیباروبرگشت به لیست
مَشیانه 	نخستین آفریده، نام نخستین زن (حوا)
مَهرو 	ماه رو، (به مجاز) زیبا رو
مَهگل 	(مَه = ماه + گل)، گلِ ماه؛ (به مجاز) زیبارو
مُوژان 	چشم خمار و پر کرشمه، غنچه نرگس
مُهیمِن 	 آگاه به حاضر و غایب؛ از نامها و صفات خدا
مِهرسا 	(مهر = خورشید + سا (پسوند شباهت))، مثل خورشید؛ (به مجاز) زیبارو
مِهرنیا 	(مهر = مهربانی، محبت + نیا)، از نژادِ مهربانان؛ (به مجاز) مهربان و با محبت
ماتیسا 	 ماهتیسا، در گویش مازندران ماه تنها
ماتینا	نام ساتراپ نشین ولایت تحت امر حاکم با والی در دوران هخامنشی
ماجان	مانند ماه
مادیار 	  یاور و کمک کننده مادر، مددکار برای مادر
مارال 	گوزن، آهو
مارتا 	  فناپذیر، دنیایی
مریم 	 انگلیسی از عبری، مریم
مارینا 	دارنده ی هر چیز ارزشمند، جویبار، آب
مالیندا	صالح, جدی,شاد
مامَک 	 مادر؛ خطاب محبت آمیز به فرزند دختر؛ زن پیر
مانِلی 	در گویش مازندران بمان برایم، نامی دخترانه در شمال ایران، نام پسری در شعری از نیما یوشیج
مانا 	ماندنی، پایدار؛ (در پهلوی) مانند و مانند بودن
مانترَه 	سخن منش انگیز و مقدس، کلام اندیشه برانگیز
ماندانا 	عنبر سیاه، نام دختر پادشاه ماد و مادر کورش
ماندگار 	 کسی که در جایی اقامت (دایمی و طولانی) کند، پایدار، با دوام، ماندنی.
مانلی	مازندرانی(بمان برایم)
مانیا	خانه و سرای امن
مانیا 	  خانه، سرای،  معرب از یونانی، دیوانگی، جنون
ماه 	بسیار خوب و دوست داشتنی
ماه آفرید 	آفریده‌ی ماه؛  زیبارو
ماه بانو 	زنی که چون ماه می‌درخشد
ماه پسند 	 قبول شونده، پسندیده، (به مجاز) زیباروی چون ماه
ماه پیکر 	معشوقِ زیبا
ماه جهان 	زیبای جهان
ماه دیس 	همچون ماه
ماه رخسار 	 ماه چهر
ماه سمین 	ماه
ماه گل 	 گلِ ماه؛ (به مجاز) زیبارو
ماهانا 	 ماهان+ ا (پسوند نسبت)) منسوب به ماهان
ماهپری 	بسیار زیبا
ماهتاب 	 پرتو ماه، شعاع ماه، نور ماه، مهتاب
ماهتابان 	زیبارو
ماهدخت 	  دختر ماه، دختری که مانند ماه است؛ (به مجاز) زیبارو
ماهرُخ 	خوشگل، زیبا
ماهرخ	کسی که چهره ای مانند ماه دارد
ماهرو 	آنکه چهره‌ای همچون ماه دارد،‌ زیبارو
ماهک 	خوبروی کوچک، معشوقک زیباروی و یا خوبروی دوست داشتنی
ماهناز 	 (ماه + ناز = قشنگ، زیبا) ماهروی زیبا
ماهنگار 	 (ماه + نگار = معشوق) (به مجاز) معشوقه‌ی زیبارو
ماهنوش 	 ماه جاویدان و همیشگی؛ (به مجاز) زیباروی همیشه زیبا
ماهوَر 	(ماه + وَر (پسوند دارندگی))،  زیبارو
ماهوار 	مانند ماه
ماهوش 	مهوش، مانند ماه؛ (به مجاز) رعنا و زیبا و معشوقه، زیبا و درخشان
ماهین 	 (ماه + ین (پسوند نسبت))، منسوب به ماه؛ (به مجاز) زیبارو
مایا 	منش نیک، بخشنده؛ (در روم باستان) اِلهه ی فراوانی سبزه و بهار در نزد رومیان
مایسا 	نام گیاهی کوچک و یک ساله که بسیار ظریف است.
مائده 	خوردنی، طعام، نام سوره ای در قرآن کریم
مبینا 	آشکار و روشن، از اسامی کلام وحی
متینا 	دختر متین و باوقار
محدثه 	مؤنث محدث، گوینده سخن
محنا 	ﺑﻪ ﺣﻨﺎ ﺧﺿﺎﺏ ﮐﺮدﻩ، به ضم میم و فتح ح و تشدید نون
محیا 	یکی از صفات خدا ،زنده و پویا
محیصا 	رستگار شده ، پاک و آمرزیده (به فتح میم).
مرجان 	از گیاهان دریایی
مرسا	استوار وثابت
مرسانا 	هدیه خداوند
مرسده 	زیبا ، با طراوت و خرم
مرمر 	سنگ خوشرنگ و قیمتی
مرمرین 	 ساخته شده از مرمر یا از جنس مرمر
مروا 	فال نیک و دعای خیر
مروارید	در ، سنگی ارزشمند و قیمتی
مروارید 	گوهر باارزش دریایی
مژان 	 نرگس نیمه شکفته
مژده 	 خبر خوش و شادی بخش، بشارت
مژگان 	مژه‌ها، چشم پوش
مستانه	سرخوش وشاد
مستوره	پنهان ، پوشیده
مشکات	(قدیم) چراغدان، از واژه های قرآنی ، مکان نورانی – طاقی بلند که چراغ را در آن گذارند
معینا	منسوب به معین، یاریگر ، کمک کننده
ملودی	توالی تعدادی از اصوات در موسیقی
ملیسا 	زمانی بین مغرب و نماز عشا؛ ماه صَفر؛ ماهی بین آخر گرما و زمستان
ملیکا 	 اسم رومی، مادر امام مهدی
ملیکه	زن صاحب و مالک منیبا
منیژه 	خواهر فرنگیس، دختر افراسیاب
موژان 	پر کرشمه ، خمار، گل نرگش نیم شکفته
مونا 	تک، یکتا، در متون ایران باستان به مُحبَّت هم معنا شده است، گل یاس، امید
مه پیکر 	 آن که پیکرش چون ماه زیبا و دل انگیز است
مه دخت	دختری که مانند ماه است
مه سیما 	ماه رو, ماهرخ، زیبا
مه نگار 	معشوقه زیبارو
مهان	منسوب به ماه
مهبان	نگهبان ماه
مهتاب 	نور آرام ماه
مهتاج	زیبای زیبایان
مهدا	آرامش شب
مهدخت 	دختری که مانند ماه است
مهدیا	دختر هدایت شده
مهر رخسار 	آن که صورتش چون ماه زیبا است
مهر نوش	زیبا ، جاوید و همیشگی
مهراسا 	مانند خورشید
مهرافروز 	افروزنده‌ی مهربانی، مهربان
مهرافزا 	آنکه مهر و محبت بیفزاید
مهرافزون 	آنکه مهر و محبت بیفزاید
مهرافشان 	مهربان
مهرانا	منسوب به مهران ، دارنده مهر
مهرانگیز 	برانگیزاننده‌ی محبت و دوستی
مهرآگین 	آکنده از محبت
مهرآمیز 	دوستانه، همدل
مهرآنا 	(مهر = محبت و دوستی ، مهربانی + آنا (ترکی)= مادر)،
مهرآور 	دوستی ورزنده، ابراز محبت کننده
مهربان	دارای محبت و عاطفه
مهربانو 	بانوی مهربان و با محبت
مهرچهر 	آنکه چهره‌ای مهربان دارد
مهرچین 	برگزیننده مهر یا نور
مهرخ 	آن که دارای رخساری چون ماه است
مهرگل 	آنکه در میان گل ها چون خورشید می درخشد
مهرناز 	نام خواهر کیکاووس که وی را به همسری رستم داده بودند، خورشید ناز
مهرنگار 	خورشید زیباروی
مهروی 	ماه رو، زیبارو
مهری 	منسوب به مهر
مهسان	همانند ماه
مهستی 	ماه خانم
مهشید 	مهتاب، روشنایی ماه
مهفام	به رنگ ماه
مهکامه	به مجاز آرزوی زیبا روی
مهنا  	گوارا و خوش
مهناز 	ماه ناز
مهوش 	مانند ماه، خوشگل
مهین 	بزرگ، بزرگتر
میترا 	خورشید، مظهر دوستی و محبت و روشنایی
میشکا	در گویش مازندرانی به معنای گنجشک
میگل	زیبا روی
میگل 	 (می = شراب + گل)، (به مجاز) زیبا و مست کننده
مینا 	مرغ مقلد، مرغ مینا؛ گلی معمولاً سفید، نوعی شیشه رنگی به ویژه سبز که از آن انواع ظروف میسازند.
مینو 	جهان معنوی، بهشت
مینوش	نوشنده می ، می نوشنده

نادیا 	زن خوش آوتزبرگشت به لیست
ناربن 	 درخت انار
ناردانا 	 ناردانه، دانه انار
ناردانه 	 ناردانا، دانه انار
نارگل 	گل انار، آن که چون گل لطیف و زیبا است.
نارگون 	همانند انار، سرخ و آتش
نارمیلا 	(ترکی- فارسی) شکوفه، غنچه، خصوصا شکوفه گل انار
نارنج 	 میوه‌ای آبدار و ترش، از گونه مرکبات
نارو 	 پرنده‌ای خوش آواز همانند بلبل
نارون 	 درختی خوش اندام و پُربَرگ و سایه دار
نارین 	منسوب به نار، تر و تازه
نارینا	منسوب به آتش
ناز 	دوست داشتنی، کرشمه، نام گلی است
نازان 	فخرکننده، نازکننده
نازآفرید 	آفریده ناز و زیبا
نازآفرین 	 مرکب از ناز (زیبا) + آفرین (آفریننده)، نام همسر فتحعلی شاه قاجار
نازبانو 	بانوی زیبا و عشوه گر
نازبو 	 ریحان
نازپر 	 آنکه مانند پری زیباست،نام دخترپادشاه خوارزم
نازپری 	آنکه مانند پری زیباست، نام دخترپادشاه خوارزم
نازجهان 	 موجب نازش و مباهات جهان
نازخاتون 	 بانوی زیبا،نام دخترامیر کردستان در زمان پادشاهای الجایتو
نازدار 	 آن که رفتاری خوشایند و جذاب دارد، ملوس
نازدانه 	 فرزند محبوب پدر و مادر، دردانه
نازدخت 	 دختر زیبا و ناز
نازدلبر 	 معشوق زیبا و جذاب، نام دختری در منظومه ویس و رامین
نازرخ 	 دارای روی زیبا و لطیف
نازک 	  نازنین و زیبا
نازلی 	ناز دار
نازمهر 	زیبا چون خورشید
نازنین 	دارای ناز، نازک اندام، دوست داشتنی
نازیاب 	یابنده ناز،‌از شخصیت‌های شاهنامه
نازیلا	با ناز وکرشمه
نافه 	ماده ای با عطر خوش بو و پایدار
ناکتا 	 ناک (در گویش مازندران نوعی گلابی شیرین) + تا، شیرین مثل گلابی
نانا 	 پدر و مادر، نعناع
نانیسا 	 نام روستایی در نزدیکی مراغه
ناوه 	 نام روستایی در نزدیکی خرم آباد
ناهید 	آناهیتا، پاک بانو
نایریکا 	برگزیده و پسندیده
نجلا 	زنی که دارای چشمان درشت است.
نجوا 	سخن آهسته
